,"ENFERMEDAD","SINTOMAS"
117,"Fiebre Tifoidea","Me he estado sintiendo agotado y débil, y no consigo librarme de ello. Debido a los vómitos y las náuseas, he perdido por completo el apetito. Me duelen el vientre, lo cual me preocupa."
118,"Fiebre Tifoidea","Estoy experimentando estreñimiento y dolor de estómago, lo cual ha sido muy difícil. El malestar ha empeorado y está interfiriendo seriamente con mi vida cotidiana."
119,"Fiebre Tifoidea","Debido a los vómitos y la diarrea, he estado teniendo muchas dificultades para mantenerme hidratado. Tengo fiebre alta, además de estreñimiento y dolor de cabeza."
120,"Fiebre Tifoidea","El dolor abdominal ha sido frecuente y muy doloroso. También se han producido estreñimiento y vómitos. Estoy muy preocupado por mi salud."
121,"Fiebre Tifoidea","Tengo dolor de estómago severo y estreñimiento. Cada noche, me da dolor de cabeza y escalofríos. Los últimos días han sido muy dolorosos."
122,"Fiebre Tifoidea","Hay un dolor claro en la parte abdominal. No estoy seguro de qué es. También estoy pasando por vómitos constantes y siento náuseas."
123,"Fiebre Tifoidea","La diarrea ha sido bastante líquida y maloliente, y ha estado acompañada de dolor abdominal severo y dolor de cabeza. La mayor parte del tiempo, tengo ganas de vomitar."
124,"Fiebre Tifoidea","He tenido fiebre en los últimos días. Ahora, estoy empezando a experimentar un dolor severo en la zona del estómago y sufro de estreñimiento."
125,"Fiebre Tifoidea","Estoy experimentando muchas náuseas y vómitos, y me ha sido bastante difícil comer algo. He perdido por completo el apetito y, como resultado, me he vuelto bastante débil."
126,"Fiebre Tifoidea","Estoy teniendo muchos problemas para dormir debido a la fiebre alta y el dolor de cabeza. Además, tengo dolor de vientre constante, por lo cual no puedo ir a trabajar."
127,"Fiebre Tifoidea","Me he estado sintiendo muy fatigado y débil, y no consigo librarme de ello. Tengo fiebre leve y un dolor extraño en la zona abdominal. No puedo entender qué está pasando."
128,"Fiebre Tifoidea","He estado sufriendo de estreñimiento y molestias estomacales, lo cual ha sido muy incómodo. Anoche, también tuve fiebre leve."
129,"Fiebre Tifoidea","También he estado sufriendo de diarrea, lo cual ha sido muy incómodo. Va y viene, y está acompañado de dolores de estómago y vómitos."
130,"Fiebre Tifoidea","He estado experimentando escalofríos, fiebre y molestias estomacales extremas. He estado generalmente infeliz y no consigo librarme de estos síntomas."
131,"Fiebre Tifoidea","Debido a los vómitos y la diarrea, he estado teniendo muchas dificultades para mantenerme hidratado. También hay fiebre leve, así como dolor de estómago."
132,"Fiebre Tifoidea","He desarrollado diarrea. Está acompañada de dolor severo en la zona del vientre. No tengo ganas de comer nada y, la mayor parte del tiempo, tengo un leve dolor de cabeza."
133,"Fiebre Tifoidea","He tenido mucha hinchazón y estreñimiento, lo cual ha sido muy doloroso. Hay mucha presión y dolor en la zona del estómago. Tengo fiebre alta y escalofríos cada noche."
134,"Fiebre Tifoidea","He tenido un dolor de estómago persistente durante la última semana y no se cura ni con medicación. Tengo ganas de vomitar y no puedo comer nada, por lo cual me he vuelto extremadamente débil."
135,"Fiebre Tifoidea","Tengo molestias estomacales severas y diarrea. Tengo fiebre alta junto con dolor de cabeza. Los últimos días han sido muy desagradables."
136,"Fiebre Tifoidea","Tengo un dolor terrible en la parte abdominal y me he estado sintiendo muy mareado. También estoy experimentando fiebre leve. Estoy muy preocupado."
137,"Fiebre Tifoidea","Estoy experimentando estreñimiento y dolor de estómago. El malestar ha empeorado y está interfiriendo seriamente con mi vida cotidiana. Siento que he perdido el apetito para comer cualquier cosa."
138,"Fiebre Tifoidea","La mayor parte del tiempo me siento fatigado. No quiero comer nada. Tengo fiebre alta y escalofríos cada noche. Además, he estado vomitando desde ayer."
139,"Fiebre Tifoidea","He perdido el apetito y he notado una pérdida de peso significativa. Tengo dolor abdominal, especialmente en la zona del estómago y los intestinos. Estoy preocupado por mi salud."
140,"Fiebre Tifoidea","Las molestias estomacales han sido severas y frecuentes. También han ocurrido vómitos y estreñimiento. Estoy preocupado por mi salud."
141,"Fiebre Tifoidea","He estado experimentando diarrea y he tenido heces sueltas y acuosas varias veces al día. He perdido el apetito y siento náuseas todo el tiempo. También me está empezando a dar fiebre leve."
142,"Fiebre Tifoidea","Me siento bastante débil. Tengo muchas molestias estomacales y estreñimiento, lo cual me está molestando mucho. Tengo una fuerte necesidad de vomitar a veces y, como resultado, no puedo comer nada."
143,"Fiebre Tifoidea","Hay un dolor extraño en la zona del estómago. No sé cuál es la razón de esto. Además, me está empezando a dar fiebre leve junto con escalofríos y dolores de cabeza."
144,"Fiebre Tifoidea","He tenido fiebre alta, sobre todo por la noche. Ha sido bastante desagradable. Hay un pequeño dolor de cabeza, además de estreñimiento y diarrea. No tengo ganas de comer nada."
145,"Fiebre Tifoidea","He estado teniendo muchos problemas para mantenerme hidratado debido a los vómitos y la diarrea. Tengo fiebre alta, estreñimiento y dolor de cabeza. También me está empezando a dar un dolor extraño en la zona del estómago y no puedo hacer nada físico."
146,"Fiebre Tifoidea","He estado teniendo dolor de cabeza durante la última semana que ha ido empeorando. Ha estado acompañado de dolores de estómago, estreñimiento y diarrea. No sé qué está pasando y estoy muy preocupado por ello."
147,"Fiebre Tifoidea","He perdido mucho peso en la última semana porque no podía comer mucho debido a las náuseas y los vómitos. A esto le siguen fiebre alta, dolor de cabeza y dolor de estómago."
148,"Fiebre Tifoidea","Estoy teniendo algo de diarrea y estreñimiento, lo cual ha sido bastante preocupante. En el estómago, hay un dolor severo y punzante. Estoy constantemente agotado y no tengo ganas de comer nada."
149,"Fiebre Tifoidea","He estado teniendo diarrea y heces sueltas y acuosas muchas veces al día. He perdido el apetito y siempre estoy enfermo. También estoy desarrollando fiebre leve. Además, me duele mucho la parte abdominal. No sé cuál es la razón de todo esto."
150,"Varicela","He estado experimentando un picor intenso por toda la piel y me está volviendo loco. También tengo una erupción que está roja e inflamada."
151,"Varicela","Me siento fatigado y sin energía. Apenas puedo mantener los ojos abiertos durante el día y me he estado sintiendo letárgico e incapaz de motivarme."
152,"Varicela","He tenido fiebre alta en los últimos días. No sé qué la está causando. Además, he notado erupciones en la piel y me cuesta resistir el rascado."
153,"Varicela","He perdido el apetito y no consigo comer nada. Estoy preocupado por mi salud."
154,"Varicela","Tengo pequeñas manchas rojas por todo el cuerpo que no me explico. Me preocupa. Me siento extremadamente cansado y tengo fiebre leve cada noche."
155,"Varicela","Los ganglios linfáticos están hinchados, causándome molestias en el cuello y las axilas. No sé qué lo está causando."
156,"Varicela","Me siento muy enfermo e incómodo, como si algo fuera mal por dentro. No sé qué podría ser. He notado pequeñas manchas rojas en los brazos, que me pican al tocarlas."
157,"Varicela","El picor me dificulta dormir por la noche. No puedo descansar. También he perdido el apetito y me siento letárgico."
158,"Varicela","Estoy preocupado por esta erupción en la piel. Se está extendiendo rápidamente y causando muchas molestias. Apenas puedo dormir por la noche debido al picor."
159,"Varicela","No tengo energía y he perdido el apetito. Me siento muy enfermo y no sé qué me pasa."
160,"Varicela","Tengo una erupción cutánea que está roja e inflamada y se está extendiendo por todo el cuerpo. He estado experimentando un picor intenso, sobre todo en brazos y piernas."
161,"Varicela","He tenido fiebre alta en los últimos días y empieza a preocuparme. No sé qué la está causando. Además, tengo manchas rojas por todos los brazos y las piernas, algunas de las cuales están hinchadas."
162,"Varicela","Tengo una erupción cutánea que está roja e hinchada y se está extendiendo por todo el cuerpo. Tengo fiebre leve y me está causando muchas molestias."
163,"Varicela","Me siento fatigado y sin energía. Apenas puedo mantener los ojos abiertos durante el día y me he estado sintiendo letárgico e incapaz de motivarme."
164,"Varicela","Tengo pequeñas manchas rojas por todo el cuerpo que no me explico. Los bultos pican y son incómodos y parecen extenderse rápidamente. Me preocupa."
165,"Varicela","El picor me dificulta dormir por la noche. No consigo descansar porque la erupción pica y es muy incómoda. Me siento muy cansado y agotado."
166,"Varicela","No tengo energía y he perdido el apetito. Tengo fiebre alta y dolor de cabeza severo y no sé qué me pasa."
167,"Varicela","La fiebre alta y los ganglios linfáticos hinchados me están causando muchas molestias. Tengo dolor de cabeza y me siento débil y fatigado. Me cuesta concentrarme debido a la fiebre."
168,"Varicela","La erupción cutánea me está causando muchas molestias. Está roja e inflamada, extendiéndose por todo el cuerpo. La erupción está acompañada de un picor intenso, sobre todo en brazos y piernas."
169,"Varicela","Hay manchas rojas por todo el cuerpo que no me explico. Las manchas pican y empiezan a hincharse, y se están extendiendo rápidamente."
170,"Varicela","Tengo pequeños ganglios linfáticos en los brazos y la cara. El picor me está haciendo el día muy incómodo."
171,"Varicela","No tengo energía y he perdido el apetito. Me siento muy enfermo y no sé qué me pasa. Además, están empezando a aparecer pequeñas manchas rojas en la piel."
172,"Varicela","He tenido fiebre leve en los últimos días y empieza a preocuparme. La fiebre ha estado acompañada de un dolor de cabeza severo. Me siento débil y letárgico."
173,"Varicela","Tengo ganglios linfáticos hinchados y manchas rojas por todo el cuerpo, y me están causando molestias. También tengo fiebre leve y me siento cansado la mayor parte del tiempo."
174,"Varicela","He estado sufriendo un picor intenso por todo el cuerpo y me está volviendo loco. También tengo una erupción roja e irritante."
